ST_ID,LATITUDE,LONGITUDE
1040,55.4269,38.5601
1041,55.4057,38.6561
1042,55.3272,38.6856
1043,55.8624,37.6830
1044,55.8805,37.7112
1045,55.8903,37.7263
1046,55.9010,37.7424
1047,55.7777,37.6576
1049,55.8143,37.6630
1050,55.8294,37.6712
1051,55.8412,37.6699
1052,55.8822,37.5677
1053,55.8972,37.5536
1054,55.7961,37.5881
1055,55.8175,37.5773
1056,55.8474,37.5742
1057,55.8656,37.5732
1058,55.7941,37.6330
1059,55.8080,37.5785
1060,55.8055,37.5533
1061,55.8155,37.5266
1063,55.8143,37.5278
1064,55.8143,37.4768
1065,55.8271,37.4411
1066,55.8331,37.3990
1067,55.8152,37.3414
1068,55.8143,37.3039
1069,55.8227,37.2488
1070,55.8323,37.2192
1071,55.8417,37.1848
1072,55.8551,37.1557
1073,55.8375,37.1612
1074,55.8268,37.1496
1075,55.8147,37.1243
1076,55.8667,37.1258
1077,55.8744,37.1035
1078,55.8802,37.0380
1079,55.8963,36.9687
1080,55.8905,36.9294
1081,55.9122,36.9627
1082,55.9288,36.9984
1083,55.9613,37.0109
1084,55.9949,37.0477
1085,56.0325,37.0544
1087,55.8564,36.8800
1088,55.8140,36.8242
1089,55.7722,36.8062
1090,55.7393,36.8051
1091,55.7207,36.7953
1092,55.6984,36.7859
1093,55.6733,36.7604
1094,55.6446,36.7574
1095,55.8878,36.9383
1096,55.9116,36.8226
1097,55.9117,36.7974
1098,55.9039,36.8561
1099,55.8861,36.9005
1100,55.9264,36.7017
1101,55.9396,36.6450
1102,55.9479,36.6132
1103,55.9623,36.5702
1104,55.9736,36.5414
1105,55.9965,36.4724
1106,55.9882,36.4526
1107,55.9913,36.4108
1108,56.0109,36.3370
1109,56.0182,36.2141
1110,56.0049,36.0927
1111,55.9787,36.0396
1112,55.9941,35.7862
1113,56.0095,35.6426
1114,56.0299,35.5115
1115,56.0467,37.0561
1116,55.7283,37.5117
1117,55.7432,37.5670
1118,55.7622,37.5325
1119,55.7726,37.5602
1120,55.7732,37.5499
1121,55.7541,37.5317
1122,55.7762,37.5807
1123,55.6979,37.5945
1124,55.7393,37.5344
1125,55.7635,37.5199
1126,55.8032,37.4955
1127,55.8472,37.5515
1128,55.8476,37.5906
1129,55.8391,37.6688
1130,55.8293,37.7025
1131,55.8067,37.7459
1132,55.7628,37.7461
1133,55.7445,37.7408
1134,55.6987,37.7005
1135,55.7178,37.6956
1136,55.7022,37.6554
1137,55.7257,37.6935
1138,55.7239,37.7291
1139,53.2329,34.4371
1140,53.2469,34.4419
1141,53.2520,34.4285
1142,53.1791,34.4006
1143,53.1385,34.4254
1144,53.1135,34.4281
1145,53.2624,34.4063
1146,53.3175,34.4152
1147,53.3294,34.4397
1148,53.3297,34.4401
1149,63.0104,54.7732
1150,62.9074,55.0497
1151,62.7979,55.2794
1152,62.7948,55.6911
1153,62.7491,56.0462
1155,63.5929,53.9639
1157,63.7216,54.1925
1158,63.9224,54.4434
1160,64.0808,54.7012
1161,64.1796,54.8360
1162,64.4055,55.1979
1163,64.4828,55.3148
1166,64.6836,55.8750
1169,64.8987,56.4287
1170,64.9678,56.6319
1172,65.1061,56.9946
1175,65.1061,56.9946
1176,65.1584,57.2347
1178,65.2717,57.6359
1180,65.3725,58.0346
1186,65.8156,58.0636
1188,66.0244,57.5474
1189,65.6143,58.9640
1193,65.7487,59.6549
1196,65.9925,60.3247
1199,66.1824,60.7838
1200,66.0239,60.2026
1201,65.1746,57.2756
1202,66.2764,61.0680
1206,66.5162,61.6687
1210,66.6748,62.5675
1214,67.0538,63.0784
1215,67.0914,63.1833
1216,67.1360,63.3919
1218,67.2829,63.6491
1221,67.4776,63.6577
1222,67.4700,64.0278
1223,67.0432,64.2187
1225,67.0559,65.5104
1226,66.8099,65.8127
1227,66.6524,66.4047
1228,64.4293,40.6083
1232,64.4106,40.2333
1234,64.4972,39.9904
1235,64.5735,39.8509
1236,64.4694,40.6084
1237,64.5146,40.5654
1238,64.5509,40.5747
1240,64.5509,40.5747
1241,64.5509,40.5747
1242,64.4694,40.6084
1243,64.5096,40.7088
1244,64.4097,41.3006
1246,64.4694,40.6084
1247,64.3032,41.9219
1248,64.1834,42.2603
1249,64.0554,42.6736
1250,64.0354,43.1580
1251,64.0389,44.0104
1252,64.0415,44.4043
1254,60.6066,40.1571
1257,60.7958,40.0927
1261,60.9902,40.3376
1262,61.1904,40.2855
1263,61.0882,40.2792
1264,61.3307,40.2457
1265,61.4388,40.2331
1266,61.5083,40.2159
1267,61.5779,40.1999
1268,61.6622,40.2065
1270,61.8064,40.2098
1272,61.9347,40.2503
1273,62.0423,40.2439
1275,62.2246,40.2636
1278,46.4554,30.7111
1279,46.4674,30.7404
1284,46.4856,30.7488
1285,46.4856,30.7488
1286,46.6322,31.0439
1287,46.6322,31.0439
1288,46.5250,30.7264
1289,46.5251,30.7264
1290,46.4958,30.7128
1291,46.4659,30.6859
